run,target_step,samples,duplicate_iterations_in_file,total_loss,dino_local_crops_loss,dino_global_crops_loss,ibot_loss,koleo_loss,lr,wd,mom
dinov3_vitb16_lvd1689m_100pass_plan,302849,101,756,13.843193488545937,10.411735562994929,10.406874732215806,3.495287356990399,-0.37932201423267325,0.00023296051850466427,0.1639935738224863,0.996066559563708
dinov3_vitb16_lvd1689m_100pass_plan,378562,101,756,13.81772793873702,10.419927011622061,10.415739304948561,3.461933112380528,-0.3797087716584158,0.00017840529641528603,0.21959666254874866,0.9969932777091458
dinov3_vitb16_lvd1689m_spine,1000,101,0,16.43280048181515,11.060036007720646,11.064678041061553,5.432109001839515,-0.3179242728960396,6.129921396341735e-05,0.04072105403649876,0.994012017567275
dinov3_vitb16_lvd1689m_spine,20000,101,0,15.084666799790789,10.876848022536477,10.875990338844828,4.267926508837407,-0.37507735148514854,1.6514407393228985e-06,0.39923462280884875,0.9999872437134808
dinov3_vitb16_random_init_100pass_v2,1000,101,0,14.735501619848874,9.709176856692475,9.709299219716893,4.847973228681205,0.8867241887762995,4.08457095709571e-05,0.04000201464173789,0.9920000447698164
dinov3_vitb16_random_init_100pass_v2,20000,101,0,14.033136311143931,9.704061508178711,9.702809872013507,4.384913869423442,-0.27977065284653463,0.0004983852194487033,0.042349396461746534,0.992052208810261
rad_dino_init_rad_crops,1000,101,0,12.895153772712934,9.124403679724967,1.1402426987591356,2.6511866125730004,-0.023204095292799543,3.066494712534316e-05,0.040320468460666135,0.994012017567275
rad_dino_init_rad_crops,20000,101,0,6.1274351979246235,4.585521719243267,0.5719670210734452,0.9970054537943094,-0.033492286606590344,1.1444302623357608e-06,0.1996598323594883,0.9999872437134808
rad_dino_init_rad_crops_100pass_plan,1000,101,500,11.848569407321438,8.272868859885943,1.0345542029579087,2.561736550661597,-0.024055254341352104,4.3366784114114165e-05,0.04000022384847168,0.9940000083943178
rad_dino_init_rad_crops_100pass_plan,20000,101,500,4.247970387487128,3.2728856270856195,0.4056626528796583,0.6049109656031769,-0.034073631362159656,8.825945301554457e-05,0.04026147034935255,0.9940098051381008
rad_dino_init_rad_crops_100pass_plan,75712,101,500,0.5777137394588773,0.3370360519626353,0.03796276131110026,0.23059853114704093,-0.035726112894492575,8.632810095287925e-05,0.0438633869934208,0.9941448770122533
rad_dino_init_rad_crops_100pass_plan,151424,101,500,0.3257787943181425,0.1393122395666519,0.01384449440358889,0.20393303287501383,-0.03624189018022896,8.018368623688539e-05,0.05517737717031014,0.9945691516438866
rad_dino_init_rad_crops_100pass_plan,227137,101,500,0.25213507968600435,0.09429871866313538,0.007420363678080537,0.1794702556758824,-0.036715365872524754,7.055710177850276e-05,0.07283500118559098,0.9952313125444596
rad_dino_maira2_init_rad_crops,1000,101,0,12.723017399854,8.98260515043051,1.1246441626312709,2.6372135889412154,-0.024725866789865023,3.066494712534316e-05,0.040320468460666135,0.994012017567275
rad_dino_maira2_init_rad_crops,20000,101,0,5.33758272038828,4.032367682693028,0.502514116834886,0.8378236677386973,-0.03539525400293936,1.1444302623357608e-06,0.1996598323594883,0.9999872437134808
rad_dino_maira2_init_rad_crops_100pass_plan,1000,101,1204,11.862195137703774,8.288797562665279,1.037841501212356,2.561716091514814,-0.02519970129031946,4.3366784114114165e-05,0.04000022384847168,0.9940000083943178
rad_dino_maira2_init_rad_crops_100pass_plan,20000,101,1204,4.861432070779328,3.8256013771094897,0.47417140154555293,0.5837355179361777,-0.03552910833075495,8.825945301554457e-05,0.04026147034935255,0.9940098051381008
rad_dino_maira2_init_rad_crops_100pass_plan,75712,101,1204,0.8124734192791552,0.5244985090033842,0.05907703202107165,0.25886045440588845,-0.03644705290841584,8.632810095287925e-05,0.0438633869934208,0.9941448770122533
rad_dino_maira2_init_rad_crops_100pass_plan,151424,101,1204,0.34077670196495435,0.16165697854934352,0.014827394682803367,0.19551270846093055,-0.03655492197168936,8.018368623688539e-05,0.05517737717031014,0.9945691516438866
rad_dino_maira2_init_rad_crops_100pass_plan,227137,101,1204,0.5070189216939529,0.2763436104696576,0.026862333288951084,0.23587385144564185,-0.036789695815284656,7.055710177850276e-05,0.07283500118559098,0.9952313125444596
rad_dino_maira2_init_rad_crops_100pass_plan,302849,100,1204,0.400601746737957,0.20525432139635086,0.021552403979003428,0.20004894435405732,-0.036961669921875,5.8393753903455704e-05,0.09510668059983729,0.9960665005224939
rad_dino_maira2_init_rad_crops_100pass_plan,378562,101,1204,0.24053181220989417,0.08176700981094105,0.005413726059775246,0.18329628829908842,-0.0369223415261448,4.488279207765906e-05,0.11982073891055497,0.9969932777091458
