task,run,ap_epsilon_dec,ap_epsilon_MAE,lat_epsilon_dec,lat_epsilon_MAE,mean_epsilon_dec,mean_epsilon_MAE,split,epoch,train_loss,MAE_mm,MRE_mm,landmarks,SDR_2mm_percent,SDR_3mm_percent,SDR_4mm_percent,SDR_5mm_percent,IDR,IRA,instances,images
7,task07_keypoint_linear/dinov2,18.84711842256434,0.0281923804213019,18.194718708711513,0.031464482756222,18.520918565637928,0.029828431588761948,val,15,8.228684854507446,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,19.05353541654699,0.028697738314376157,17.90436877082376,0.03081659823656082,18.478952093685372,0.02975716827546849,val,16,8.226900060971579,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,18.507783687815948,0.02751836960806566,17.6870262594784,0.030586617045542774,18.097404973647173,0.029052493326804218,val,17,8.21957405673133,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,18.474539498721853,0.027772615587010104,19.084234170352712,0.03290461249211255,18.779386834537284,0.030338614039561326,val,18,8.212812116410998,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,18.710330828498392,0.02858889225651236,18.238771371280446,0.031645534669651705,18.474551099889418,0.030117213463082035,val,19,8.212551305029127,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,18.481500244140626,0.027914642586427577,17.780167478673597,0.030953692776315354,18.130833861407112,0.029434167681371463,val,20,8.208864935239156,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,18.151603205063765,0.027298273496768055,17.86792485854205,0.030975059901966768,18.00976403180291,0.02913666669936741,val,21,8.206653226746454,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,18.454339330336627,0.02791794924175038,17.911611983355353,0.030850166871267206,18.18297565684599,0.029384058056508795,val,22,8.20136383374532,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,18.426247854793772,0.02781640212325489,18.501957971909466,0.03160660258110832,18.464102913351617,0.029711502352181604,val,23,8.192716397179497,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,18.549720719281364,0.028226165911730598,17.83456860710593,0.03078309779658037,18.192144663193645,0.029504631854155486,val,24,8.19694854153527,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,18.330988805434284,0.028120642199235803,18.008720532585592,0.03150987283271902,18.169854669009936,0.02981525751597741,val,25,8.189622619416978,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,17.984911705465876,0.026994148685651666,18.705627576042623,0.03225153956343146,18.34526964075425,0.02962284412454156,val,26,8.188955688476563,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,18.35823970121496,0.027354532567893757,17.97848259420956,0.031096881628036498,18.16836114771226,0.029225707097965126,val,27,8.184267862637837,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,18.36287743063534,0.02770166896721896,17.590321305218865,0.030615738998441135,17.9765993679271,0.029158703982830048,val,28,8.188140675756667,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,18.21619415283203,0.02746530937797883,17.90838156307445,0.031044560057275437,18.06228785795324,0.029254934717627135,val,29,8.183855411741469,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,17.996472706514247,0.02695116102695465,17.574944484935088,0.03044829280937419,17.785708595724667,0.02869972691816442,val,30,8.17924124399821,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,18.338057080437157,0.027872760769198923,17.84371530869428,0.030854211484684663,18.09088619456572,0.02936348612694179,val,31,8.178035611576504,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,18.01297674740062,0.027288313823587755,17.8106845182531,0.0311942639596322,17.911830632826863,0.029241288891609978,val,32,8.178568487697177,,,,,,,,,,,
7,task07_keypoint_linear/dinov2,18.27847774730009,0.027521419262184817,18.6829309351304,0.03236290786196204,18.480704341215244,0.02994216356207343,val,33,8.174991416931153,,,,,,,,,,,
